Sample;Classification
Provide provisions in design for approximately 1” of grout for level surface preparation for all anchor-bolted base plate assemblies.;0
All areas where traffic may be possible shall be protected with saddles underneath the lagging to prevent damage to the insulation.;0
Apply multiple layers of insulation with joints and seams staggered according to MICA National Commercial and Industrial Insulation Standards, Plate No. 1.;0
DIVISION 6 - ELECTRICAL DESIGN CRITERIA;0
601.1 LOW VOLTAGE MOTOR CONTROL CENTERS;0
The LV MCC’s shall be arc resistant and smart MCC’s.;0
The equivalent of one vertical stack of spaces shall also be provided in each MCC lineup for Owner’s future use (floor and overhead space only).;0
f. The buckets for critical plant equipment (needed for safe shutdown, start up or capable of tripping the unit) shall have Voltage Sag Protection built in.;0
g. Any critical 480V MCC that requires a Back Up or Emergency source of power shall employ the use of an Auto Transfer Switch (ATS) or Auto Transfer Scheme using breakers. In addition the following shall be provided or met:;0
"Breaker Interrupting Rating:
[*]";0
601.2 Uninterruptible Power Supply (UPS);0
Owner engineering standards relay systems...;0
i. LOR should use the Electroswitch series 24 lighted nameplate with coil monitoring.;0
"o. All relay panels shall be standard 19"" rack mount.";0
q. All transformers with wye connected windings shall provide neutral overcurrent protection using a neutral bushing CT.;0
u. All microprocessor based relays shall be GPS time synchronized. A SEL GPS Clock shall be used if the relays are not sync with Turbine Control System or Owner’s DCS;0
601.7 Generator Protection;0
a.1 SEL Generator Protection Products excluding SEL-7xxx series. and shall be the model with the maximum amount of inputs and outputs.;0
601.12 Cable Tray Supports;0
601.13 Conduit And Junction Boxes located outside of the gas turbine enclosure;0
601.14 Conduit Supports;0
601.15 Cable;0
a.2 QUALITY REQUIREMENTS;0
601.16 Lighting, Receptacles and communication;0
c. LIGHTING CALCULATIONS;0
All actions which result in a unit trip shall be implemented in the control system using 2 of 3 logic for discrete logic. It is permissible to utilize median select logic for analog signals.;0
"All transmitters shall be ""smart"" and configuration information shall be configurable via ""HART"" communications protocol.";0
All transmitters shall be supplied with an appropriate integrally mounted isolation manifold to allow online calibration.;0
Gauge and absolute pressure transmitters shall be supplied with integral two-valve manifolds.;0
Differential pressure transmitters (flow, level, etc.,) shall be supplied with integral mounted three or five valve manifolds with pressure bleed vents and calibration ports.;0
3.3 Where double isolation root valves are required by process conditions the instrument isolation manifold shall not be considered part of the double valve requirement.;0
All pressure and differential pressure transmitters shall be Rosemount 3051S Classic series transmitters with an accuracy of 0.035% of calibrated span and guaranteed 15 year stability.;0
Transmitter digital local output indicators shall be provided on all transmitters.;0
Blowback panels shall be provided for flue gas pressure measurements. They shall be located at transmitter racks which shall permit instruments to be isolated and sensing lines blown clear by means of control air.;0
All control processors shall have the capacity required to perform all configured functions plus spare capacity of 50 percent (at time of shipment). Capacity shall include control processor’s memory, processor utilization, addressable points, and any other factor that affects processor utilization.;0
Each server shall not use more than 50 percent of its base memory, server utilization, addressable points, and any other factor that affects server utilization (at time of shipment).;0
The server shall have an external RAID 5 or 6 disk array or be capable of online failed disk replacement;0
Displays shall use High Performance HMI concepts similar to those described in the book “The High Performance HMI Handbook” authored by Bill Hollifield, Dana Oliver, Ian Nimmo, & Eddie Habibi;0
In general Operator/Engineering Workstations shall be rack mounted in Supplier furnished cabinets;0
Each Operator Workstation shall have suitable graphic adapter hardware and software licensing installed to interface with four (4) monitors even if less than four (4) monitors are initially connected.;0
The main Database Server(s) shall be a rack mounted server class workstation with redundant power supplies including a high density RAID 5 or 6 disk drive for storing and loading programs, two (2) high resolution color flat LCD or LED screens (nominal 24 inch 16X9 wide screens), pointing device, a full function QWERTY keyboard.;0
"When requested, the Supplier shall furnish Duke Energy with
lower-tier Supplier's Quality System document(s) and procedures showing
the latest revision and acceptance status.";0
"An Inspection and Test Plan shall be submitted that applies to each facility. The
Inspection and Test Plan shall be submitted to Duke Energy for review and
acceptance prior to the start of fabrication activities or four (4) weeks after award,
whichever comes first.";0
"The Quality Plan shall be submitted to Duke Energy for review and acceptance
prior to the start of fabrication activities or four (4) weeks after award, whichever
comes first.";0
"Acceptable manufacturers:
a. Static-O-Ring.
b. Owner-approved equal.";0
"Acceptable manufacturers:
a. Static-O-Ring.
b. Owner-approved equal.";0
"General Equipment and Manufacturing Co., GO Systems 80 Series unless otherwise
specified.";0
Limit switch enclosures: Stainless steel, NEMA 4X.;0
Fisher - FIELDVUE.;0
"All limit switch and control switch contacts shall be rated for 3 amps at
120Vac. All lights shall be rated for 120Vac";0
"Provide, install, and configure a Security Center to provide support for the security
controls included in this specification";0
"Provide, install, and configure two Domain Controllers both configured with RADIUS for
authentication";0
Contractor shall test all data links required between different controls systems;0
Successful contractor shall provide a network diagram within 60 days;0
"Contractor shall conduct a Cyber Security test using the Contractor and Owner jointly
developed test procedure to document the operation of the Security Center, if selected.";0
"SECURITY PATCH MANAGEMENT
A. Contractor shall install and test all of the security";0
Hot oil flushing of all hydraulic piping.;0
"2. Notify Owner and Engineer when factory tests are to be made so that they may have
representatives witness the tests, if desired.";0
"3. Issue internal test procedures for review. Owner and Engineer may perform
inspections to monitor the quality and compliance during manufacture.
4. Submit certified no-load factory test data in triplicate to Owner and Engineer.
5. Submit certificate of completion of all other tests.
6. Submit all certified material test reports (CMTRs).";0
"As a minimum, machinery protection systems shall comply with API 670. Any deviations
shall be subject to Owner and Engineer review and approval.";0
Revenue-grade fuel flow meters to measure net fuel consumed.;0
Ability to change from gas to liquid fuel without decrease in load.;0
Ability to switch operating fuel filter with a decrease in load.;0
"Full size electric fuel oil heater complete with contactor, thermostat and controls.
a. Heater shall be designed such that maintenance of heating elements can be
accomplished on-site with minimal disassembly of heater.
b. Heater shall be provided with all required instrumentation to properly control fuel
oil temperature from Contractor’s control system.";0
"Provide any and all modifications to allow remote startup and operation on Propane as a
backup fuel (Alternate Bid No. 12)";0
LUBRICATING OIL SYSTEM;0
"B. Starting system shall prevent current or voltage harmonics that exceed levels specified in IEEE
519, and shall not require more than 150MVA of available short circuit current at the high-side
of the isolation transformer to meet these values.";0
"F. Provide under-voltage relays on the system side of the generator breaker with inputs to the
turbine control system for confirmation that the bus is dead prior to closing the generator
breaker in a black start condition.";0
"Thermal insulation shall be designed so that outside surface temperature of lagging will not
exceed 140oF at any ambient air temperature indicated in SECTION 011101-A.";0
"Provisions shall be
made for high velocity flushing of the oil system at the jobsite prior to startup. These
provisions shall include blind flange connections necessary to connect temporary high velocity
pumps to the oil system piping. Contractor shall furnish a standard flush kit including any and
all jumpers for bearings if required per GT suppliers recommendations for field flushing by
Owner";0
"VIBRATION MONITORING EQUIPMENT:
A. Vibration measurement system shall be Bently Nevada 3500 series machinery protection
system with VGA display, local monitor capable of a future interface to a Contractor furnished
Bently “SystemOne” server and shall include all hardware and software to permit detail
vibration analysis to be performed.
B. Provide a SystemOne server shall havewith sufficient capacity and inputs to monitor the
following equipment.
1. Two (2) Ggas turbine and associated generators
2. Eight (8) cooling water module fan motors One (1) steam turbine and associated
generator
3. Four (4) boiler feed pumps and associated motors
2.4. Three (3) condensate pumps and associated motors
C. The vibration measurement system shall have the capacity to store data for all monitored
signals for one (1) year.
D. Provide locally installed Human-Machine Interface (HMI) in the gas turbine control enclosure
with connectivity to the Owner’s plant business and operational networks for remote
monitoring and analysis.
E. Vibration monitoring system shall be configured in accordance to either ISO 7919 for shaft
vibration reading or ISO10816 for vibration measurement on non-rotating parts, whichever is
applicable. Vibration levels in operation shall not exceed the appropriate part Zone A vibration
levels of either ISO 7919 for shaft vibration measurements or ISO10816 for vibration
measurement on non-rotating parts.";0
"4. Field Flashing
a. Automatic Field Flashing circuit shall be provided for generator startup. Field
flashing circuit shall be supplied from a separate 600VAC480VAC, 3-phase supply.";0
H. Excitation AC and DC Bus:;0
"4. Field temperature indicator transmitter including field current shunt in dc bus, if
applicable.";0
"6. Conduction Monitoring
a. A conduction monitoring circuit shall be provided for detection of SCR failure in
the converter.";0
"3. Controls, Metering, and Annunciation - The excitation system shall provide both hard
wired and over a redundant Ethernet (Modbus TCP or OPC protocol) network any critical
alarms standardly supplied by the manufacturer.";0
"F. Provide GSU transformer and UAT transformer protective relays with microprocessor based
multifunction relays. The relays shall be SEL 787 transformer differential protection relays.
Relays shall include programmable inputs/outputs, oscillographic recording, configurable
analog outputs, timed tagged sequence of events, time synchronization, redundant 100Mb fiber
communication ports, and all application software.";0
"G. Provide an overall unit differential protective relay with microprocessor based multifunction
relay. The relay shall be a SEL 387E transformer differential relay. Relays shall include
programmable inputs/outputs, oscillographic recording, configurable analog outputs, timed
tagged sequence of events, time synchronization, redundant 100Mb fiber communication ports,
and all application software.";0
"H. ABB FT-1 or FT-19R Ttest switches shall be provided to isolate and short current transformer
connections to each relay and meter, to isolate voltage inputs to each relay and meter, to isolate
control power to each relay and meter, and to isolate trip outputs of each protection relay and
each normally-open output of each lockout relay.
F.I. Test switches shall be used for any auxiliary relays used in trip circuits or part of the trip circuit
electrical path.
G.J. Test switches shall be used for any input that is used internally by a relay as part of a
protection scheme.";0
"5. Frame:
a. All wall openings, such as doors, windows, etc. shall be framed with 3-inch square
steel tubing or equivalent.";0
6. Walls:;0
"a. The exterior roof design live load shall be 35 PSF. Interior roof live load shall
include suspended electrical tray and all other suspended items.";0
"F. The walls, roof and floor shall be fully insulated as required for the HVAC design and site
conditions.
1. The walls, floor and roof shall be provided with mineral wool board type insulation.
2. Exposed insulation shall be protected with metal lagging or siding.";0
G. Doors:;0
"Explosion proof motors shall meet the Underwriters Laboratory (UL) listing
requirements of UL 674 and carry the applicable UL label.";0
"5.3.2 All AC motors rated below 1/2 HP shall be single phase, 115 V, 60 Hz.
5.3.3 AC motors rated at 1/2 HP and 3/4 HP can either be single phase, 115 V or three phase, 460 or
575 V, 60 Hz";0
5.3.4 All AC motors rated 1 HP up to and including 250 HP shall be three phase, 460 or 575 V, 60 Hz;0
"Separate terminal boxes shall be provided for main leads, space heater leads, and temperature
indicating device leads.";0
"Space heaters shall be rated for 240 V, single-phase, 60 Hz and operated at 115 V, single-phase,
60 Hz.";0
"C22.1 Canadian Electrical Code (Section 28)
C22.2 No. 100 Motors and Generators
C22.2 No. 145 Motors and Generators for Use in Hazardous Locations";0
"Unless specified otherwise, all medium voltage motors up to and including 500 horsepower (HP)
shall conform to IEEE 841, with respect to material, design, workmanship, and shop tests.";0
"Explosion proof motors shall meet the Underwriters Laboratory (UL) listing
requirements of UL 674 and carry the applicable UL label.";0
"All motors shall be provided with removable washable impingement type
inlet air filters. The screens and filters shall be readily removable with the motor in operation. A
pressure differential device shall be provided at the air inlet to indicate the filter pressure drop.";0
Pressurized lube oil piping adjacent to the turbine and other hot surfaces shall be suitably shielded, guarded, and/or routed within the lube oil return line. All oil piping shall be located on the same side of the CTG.;0
Each bearing drain line shall include a valved-equipped manual sample port to allow taking grab samples while the CTG is on-line.;0
An option shall be provided to provide a control oil system which is totally independent from the lube oil system;0
The control oil system shall be skid mounted and shall be totally contained within an enclosure.;0
Two (2) 100% capacity cartridge type, minimum 3 micron filters shall be provided with provisions to change out one filter while the other filter is in operation;0
The control oil reservoir shall be fabricated of stainless steel and be furnished with a self- contained thermostatically controlled heater. The reservoir shall be provided with a local level gauge and low level switch. The floor of the reservoir shall be sloped to a valved-equipped drain.;0
The water wash system shall contain a detergent tank with immersion heater;0
All water wash system piping shall be either ASTM A-312 TP 316 or 316L stainless steel;0
without exceeding a Class B rise in accordance with IEEE C50.13 at the highest cooling water temperature.;0
Station type lightning arresters and surge capacitors shall be provided in accordance with Supplier’s standard design.;0
A complete 125 VDC battery system with redundant battery chargers shall be provided for each CTG per TES-ELEC-BAT and TES-ELEC-CHR.;0
The batteries shall be sized to provide a minimum of four (4) hours of continuous turning gear and turbine control system duty after supplying the emergency DC loads. This shall be adjusted based on the OEM recommendation for minimum required operation on turning gear after shutdown plus a suitable margin.;0
Structural calculations shall be stamped by a professional engineer.;0
Platforms shall be a minimum of 4 feet wide unless otherwise noted. Overhead clearance for personnel shall be a minimum of 7 feet;0
Wiring around the CTG requiring frequent disconnection during maintenance and minor repairs (in particular, at the compartment roofs) shall be provided with locking type quick-disconnect connectors.;0
The electronic speed governor shall control rotor speed to within 110% of synchronous speed upon a full load rejection.;0
System master clock shall be capable of being synchronized via the DCS GPS clock by IRIG-B or alternative protocol mutually agreed by Purchaser and Supplier;0
4. The control system shall be provided with a redundant highway and redundant ring topology.;0
"The Supplier shall provide one (1) man-machine interface with two (2) LCD monitors, one (1) Engineering Workstation with one (1) LCD monitor, one (1) color laser printer, and one (1) black and white printer for the Purchaser’s main control room.
6. The Supplier shall provide one (1) man-machine interface with one (1) 20” LCD monitor and one (1) black and white printer for the local control compartment.
7. All monitors shall be widescreen (16:9 aspect ratio) and shall have at least a 24” screen.
8. At least one of the printers shall be capable of printing 11”x17”.";0
"The following hardwired control inputs to the Supplier-furnished turbine control system from the Purchaser's control system shall be accommodated:
. Emergency Trip
. Purchaser Trip
. Load Raise/Lower
. Voltage Raise/Lower
. Control Mode Selection";0
All control valves which are modulated by the TCS shall be provided with a position transmitter and local position indicator.;0
All open/close valves which are required during startup and/or during shutdown shall be pneumatically or motor actuated and be provided with control room indication of open and closed status via two DPDT position limit switches or proximity switches.;0
All filters shall be provided with a local differential pressure gauge. Critical application filters shall also be provided with a differential pressure transmitter with process signal connected to the TCS.;0
Duplex type K thermocouples shall be provided.;0
Electronic transmitters shall be Rosemount Series 3051 smart transmitters with HART protocol.;0
A Bently Nevada Series 3500 vibration monitoring with an option for a System 1 package shall be provided. Alternatives may be acceptable but shall be identified to the Purchaser for;0
“Emergency Stop” button;0
"6. Bus Voltmeter and Switch
7. Bus Frequency Meter";0
"8. Generator Field Voltmeter
9. Generator Field Ammeter";0
"One transformer protection relay including the 24 function option, the target module, and
HMI module providing the following functions:
. Bus Volts per Hertz Relay – Device No. 24
. Transformer Instantaneous Phase Overcurrent Relay – Device No. 50W1
. Transformer Inverse Time Neutral Overcurrent Relay – Device No. 51G
. Transformer Phase Differential Current Relay – Device No. 87";0
Three Generator Lockout Relays - Device No. 86G, 86G1, 86AE;0
Acceptable painting systems include Ameron, Carboline, Valspar, and Tnemec;0
"Engine Emissions Sweep Data (at FSNL and 5% Load
Increments)
Provide Preliminary with bid";0
Final As-Built Drawings (hard copy and electronic copy in .tif or .dwg format);0
Line List;0
Pipe Stress Analysis;0
"Instrumentation and Controls
Alarm List
Trip List
Loop Diagrams
Instrument List
Instrument Data Sheets
Instrument Specifications
Control Logic Diagrams
Control Settings
Control Specifications
Control Narratives
DCS Input/Output (I/O) Database
Instrument Location Drawings
Instrument Installation Detail Drawings
Internal Control Panel/ Junction Box Wiring Diagrams
Control System Architecture Drawing
Graphic Screen Layouts
Instrument Calibration Test Reports
Hardwired I/O List
Control System Hardware Outline Drawings
Ethernet Interface Specification";0
Include sub-suppliers’ plans;0
"Hydrostatic Test Plan
Shop Test Procedures
Welder and Welding Machine Operator Qualification Certificates
Welding Procedure Specifications (WPS) and Procedure Qualification Records (PQR)
Certificate of Conformance (COC) and Certified Material Test Reports (CMTRs) for Bolting Materials
Mill Certifications
Cleaning, Painting, Storage, Packaging, and Shipping Procedures
Pipe Bending Procedures
Welding Inspection and Examination Records
Deviation Reports/Non-Conformance Reports and Dispositioning Records
Shop and Field Test Reports";0
CSA Certification for all Skids including the Turbine and Generator;0
"Design Ambient Temperature Range
-29°F";0
"Additional Inlet Cooling (Y or N and type)
Y – Wet Compression (Option)";0
"Noise Limits
Maximum Allowable Near Field Sound Level
85 dB(A)";0
"Instrument Air
70 – 120 psig";0
Hydrogen-Cooled;0
Typical ULSD Fuel Specification;0
Two (2) 50% tempering air fans,;0
for a period of 3 years;0
4;0
DELIVERY SCHEDULE;0
"Anchor Bolts, Base Plates and Foundation Ancillaries
15th November 2017
All equipment required for construction of Combustion Turbine foundations.";0
"Table 3.1 Guaranteed Sound Pressure Level
Parameter
DBA(Awgt)
General Near Field Guarantee 1-3
85";0
"Far Field Guarantee (1)(2)(4)
58";0
SCHEDULE F - DOCUMENT PACKAGES;0
1.0 NOTES;0
Supplier shall provide preliminary document deliverable package for items marked with a (#) within 60 days of the Engineering Start Date, and Supplier shall work with Purchaser to minimize any changes to such document deliverables that would impact the design of the Project;0
"Exhibit F-1 Vendor Technical Document Submittal Requirements
Exhibit F-2 Vendor Technical Document Requirements List";0
SCHEDULE F, EXHIBIT 1 – Vendor Technical Document Submittal Requirements;0
"In addition to the Supplier’s document number, a Company Vendor Document Number shall be applied to each document in the following format:
Purchase Order (or Release Order) Number-VDRL Code-Sequence Number
e.g.: 4500001234-D003-0001";0
13. Documents required to be “As Built” shall accurately reflect how the equipment will be furnished. The documents shall bear the signature of an authorized Supplier representative and a stamp indicating that they are “As-Built” or “As-Manufactured”.;0
"Schedule G Exhibit 2
Vendor Technical Document Requirements List (VDRL) Form";0
INSTRUMENTATION & CONTROL;0
As part of the Work, Supplier will manage and conduct specific classroom training programs for Company’s plant supervisory, operation and maintenance personnel in English. The training programs will be conducted during a standard 40 hour work week. Supplier proposed schedule and content of the training programs will be submitted for the Company’s approval at least four (4) weeks prior to the proposed commencement of the training programs. Supplier shall comply with the Training Services requirements defined within Schedule “H”.;0
The Contractor will provide controlled copies of the following project specific documents:;0
"All ITPs shall be submitted for the Company’s review and comments prior to commencement of the
work, at which time Company will communicate the intended levels of participation, including planned
approvals, documentation reviews and Hold and Witness points. Upon completion of all Witness,
Hold, Random Inspection and Review points associated with a specific ITP, all records are
assembled for a final review of the ITP. Final review of ITP’s and associated records will be
conducted jointly by the Contractor and or the Supplier and the Company’s Representative and final
close out of the ITP will be by signature of the Contractor and or the Supplier on the bottom of the
applicable ITP. The final closed ITP will become the cover document for the completed document
turnover package for the associated work.";0
"The following are Company standard mandatory Hold points; additional Hold points may be required
as deemed necessary by the project as per approved ITP:";0
"Work shall not proceed
beyond a Hold or Witness point without the Company’s consent.";0
"Note: The Contractor shall provide Company personnel and designated representatives free and
timely access to all work, including work sites, documents, materials, equipment and records for the
purpose of review, inspection, audits and surveillance. The Contractor shall ensure suppliers and
subcontractors are also required to provide this right of access.";0
"Submit the criteria for Suppliers and Subcontractors selection, evaluation and re-evaluation in a
documented procedure and provide the procedure to the Company for review and comments.";0
PROJECT QUALITY PLAN CONTENTS;0
"Material requisition and purchasing documents including Request For Quote or Proposal
and Purchase Order development and approval";0
"Verification of purchased product conformity to specified requirements, including source
inspection and or Supplier monitoring activities (This is applicable to Material Suppliers
and Purchasing Contractors only)";0
Resumes of the proposed individuals for those key Quality positions;0
"Supplier shall provide a preliminary written notice to Owner two (2) weeks in advance of
each anticipated test and shall confirm in writing to Owner the test schedule three (3) Days prior to the
scheduled test.";0
"Promptly
upon conclusion of each such test, Supplier will provide Owner with a certified copy of the results of such
test, together with supporting data and written notice of required corrections, if any, which notice will
state each respect in which the Equipment is not in conformance with this Agreement, and perform all
such corrections to the Equipment to ensure that the Equipment complies with this Agreement.";0
"When requested, the Supplier shall furnish Duke Energy with
lower-tier Supplier's Quality System document(s) and procedures showing
the latest revision and acceptance status.";0
"An Inspection and Test Plan shall be submitted that applies to each facility. The
Inspection and Test Plan shall be submitted to Duke Energy for review and
acceptance prior to the start of fabrication activities or four (4) weeks after award,
whichever comes first.";0
"The Quality Plan shall be submitted to Duke Energy for review and acceptance
prior to the start of fabrication activities or four (4) weeks after award, whichever
comes first.";0
"The proposed Final Document Package Table of Contents shall be submitted to
Duke Energy for review and acceptance prior to the start of fabrication activities
or four (4) weeks after award, whichever comes first.";0
It is understood that the prices stated in this contract or purchase order include these quality surveillance requirements and that Duke Energy will not consider any Supplier request for extra costs to comply with these requirements.;0
HOLD POINTS (H): Hold Points are points in the product supply that Duke Energy has identified to witness, which the Supplier shall not advance past without witness by Duke Energy, except with prior written agreement by Duke Energy. When a Hold Point is established, the Supplier is obligated to provide at least ten (10) working-days' notice (domestic and 20 days international) in advance of the operation so it may be witnessed.;0
Duke Energy Surveillance Plan;0
"104.4 Generator and excitation system shall be designed to operate in accordance with all
National Energy Regulatory Commission (NERC) and Regional Transmission
Organization (RTO) reliability standards and requirements.";0
"d. All interconnecting cables, wiring, piping, fittings, supports and hardware on skid
mounted equipment integral to or between any equipment furnished under this
Specification.";0
"Thermal and personnel protection insulation and lagging design for all equipment.
Supply of piping insulation and lagging will be by Owner.";0
20% implemented spares with;0
"Shop applied priming for all painted metal surfaces and finish painting for all
equipment and interior surfaces of enclosures.";0
"o. As required, galvanized walkways, platforms and stairways necessary for access to
instrumentation and valves for steam turbine.";0
"v. Three-dimensional computer model of turbine generator, all piping (Large and Small
bore and all supports), and accessories.";0
"105.8 Supplier’s Scope Limits:
a. Inlet side of high pressure (HP) superheated steam supply block valve to the HP
steam turbine.
b. Inlet side of hot reheat (HR) steam supply block valve to the reheat turbine.
c. Inlet side of low pressure (LP) superheated steam supply block valve to the steam
turbine.
d. Discharge side of cold reheat (CR) steam supply from the HP steam turbine.
e. Discharge side of LP condensing steam turbine discharge flange (to condenser).
f. Discharge side of block valves for drain piping.
g. Generator high voltage terminals.";0
f. Discharge side of block valves for drain piping;0
"All dispositions of manufacturing nonconformances to Contract shall be subject to
Owner’s review and acceptance. Nonconformance Reports (NCRs) will be made
available at Supplier's and Supplier's Subsupplier's facilities.";0
"Supplier will identify, in purchase documents to their Suppliers, all applicable quality
and QA requirements imposed by the specification on Supplier and will ensure
compliance thereto. Supplier has the prime responsibility for Subsupplier surveillance
and evaluating and monitoring the implementation of the Quality Assurance
Programs of his Subsuppliers. Supplier will submit a copy of their Supplier
Surveillance plans to Owner for review prior to implementation. Upon request,
Supplier will submit to Owner copies of the reports of the surveillance activities that
he performs on his Subsuppliers.";0
"Owner will have
the right to access Supplier and Subsupplier's facilities at any time";0
"In general, final inspection prior to shipment will be a witness point. Owner will have
the right to access Supplier and Subsupplier's facilities at any time pre-arranged with
Supplier and escorted by Supplier to verify the progress and quality of the work.";0
Typical witness points will include:;0
202. MANUFACTURING SCHEDULE;0
203. OWNERS ELECTRONIC DATA MANAGEMENT SYSTEM (COLLECT);0
"The required engineering and design will begin immediately after Award of Contract,
regardless of the shipping date, and will proceed in an expeditious and orderly
manner until complete. Supplier will submit certified drawings and data as
hereinafter listed to Owner for review. Drawings submitted will be suitable for use by
the EPC Contractor for the balance of plant design, installation, maintenance, and
commissioning.";0
All drawings will be dimensioned in English units.;0
"General arrangement drawings consisting of a composite outline layout of all major
equipment including auxiliary equipment. General arrangement drawings will show
all basic dimensions, clearances, tolerances, required clearances for access and
maintenance, including door swings, etc. These drawings or equivalent drawings will
indicate the direction and magnitude of thermal expansion.";0
"b. Submittals of Drawings and data shall include the following information:
b.1 General Arrangement Drawings that indicate all dimensions for the equipment
including any access, and clearance/removal requirements.
b.2 Structural foundation and embedment requirements:";0
"All documentation shall be submitted electronically, through CollECT for approval
and prior to construction for record.";0
"Drawings that are reviewed by Owner/EPC Contractor will be returned to Supplier
with a transmittal and any comments or questions marked on the drawings or in the
engineering comments section of the transmittal log in in CollECT. All comments
and questions must be resolved before a resubmittal of the drawings will be
processed. If the design has not developed enough to resolve some of the
comments or questions, Supplier will place a ""hold"" on those items or areas of
design. Owner reserves the right to return drawings unprocessed to Supplier if there
is any evidence that Supplier has not acknowledged all comments and questions
from previous submittal.";0
THREE DIMENSIONAL COMPUTER MODEL;0
"Supplier’s Maximum Equipment Sound Level Guarantee of 85 dBA near field (3 feet
from equipment) and 55 dBA far field (400 feet from equipment). Sound levels will
be based upon the spatially averaged A-weighted sound level resulting from the
operation of the equipment, in a free field environment, when measured on the near
field source envelope contour located 3 feet from major surfaces of equipment and/or
enclosures at a height of 5 feet above operating levels, and 400 feet from equipment
with the unit operating at steady state base load conditions, exclusive of transient,
startup, shutdown and emergency conditions. Near field noise testing shall be done
for the STG and auxiliaries in accordance with ASA/ANSI S1.13.";0
"The complete STG unit including piping and appurtenances 302.2 integral therewith will be
in accordance with the applicable requirements of the ASME Boiler and Pressure
Vessel Code, Section I, VIII, IX, “Power Boilers” (Code) and will comply with all
federal, state, and local codes that govern. The manufacturer of the equipment will
provide proper Code certification that all work performed by them or Subcontractor
responsible to them complies with all requirements of the Code, including design,
construction, materials, and workmanship. When some portions of the equipment
are supplied by, or Code work is performed by Subcontractor not responsible to the
manufacturer, the manufacturer will obtain from these other organizations their
proper Code certifications covering such portions of work.";0
TAGGING;0
"c.1.1 Valves with Owner’s valve tag number(s).
c.1.2 Instruments with Owner’s instrument tag number.";0
"Any shop tests indicated in ITP may be witnessed by Owner's representative, if
desired, by prior arrangement. Supplier shall give a two-week notice to Owner of
their intentions to perform tests. STG shall be shop tested to meet, as a minimum,
those standards referenced in the IEEE Standards, or according to manufacturer's
standard practice including but not limited to:";0
Chemical and physical testing of rotors such as ultrasonic, magnetic, borescope.;0
Open Circuit Curve (without sliprings).;0
Shaft Voltage Check.;0
"After completion of erection, the STG unit will be hydrostatically tested by Owner in
accordance with the ASME Code.";0
"The turbine-generator and exciter will be factory-assembled as required to establish
critical fits and clearances, alignment, welding connections, mating surfaces, bolt
hole alignment, etc., to minimize field adjustments and fittings.";0
"Owner will witness and participate in the system demonstration and logic verification.
Owner will be given a minimum of two (2) weeks prior notice of Supplier's intent to
conduct these activities.";0
"Supplier shall ship the required hardware and software to the DCS test facility to
thoroughly test the communication interface between the TCS and the DCS at the
DCS FAT. Supplier shall provide technical representatives at the DCS FAT to set
up the TCS equipment and assist in running the tests. At the DCS FAT, the Supplier";0
"The main generator windings will withstand 85% ANSI factory test voltage for one
minute after the machine has been brought up to overspeed and allowed to come to
rest. Following the above test, the unit is to be run up to synchronous speed and
overexcited to deliver 105% of generator rated terminal voltage for one-half minute
just prior to synchronizing with the system, with the neutral of the generator
grounded through the neutral grounding transformer and resistor.";0
DEMONSTRATION TESTS;0
"The minimum load stable operation test shall demonstrate the Facility’s capability to
operate in a stable fashion and in accordance with the guaranteed emissions for one
continuous hour, at minimum load. This shall be demonstrated for the following two
cases: 1) with either GTG in operation, 2) with both GTG’s in operation.";0
Combined Cycle Startup Test:;0
The test will be conducted in general accordance with ASME PTC 70.;0
"The overspeed protection circuits for the STG will be demonstrated on two
occasions each, based on Supplier’s standard overspeed testing. The first occasion
will be demonstrated by accelerating the equipment to its overspeed trip level
specified in the operating and maintenance instructions and observing the unit trip.";0
"The Facility will be demonstrated to accept a load rejection from an agreed upon
level, at or near full load, without resulting in an overspeed trip for each GTG and
STG.";0
"The test shall demonstrate that following the steam turbine trip, all bypassed steam
is safely accepted by the heat rejection system, and the Facility is able to attain
steady state simple cycle operation and meet the Guaranteed Sound Levels.";0
"The test shall demonstrate that following the steam turbine trip, all bypassed steam
is safely accepted by the heat rejection system, and the Facility is able to attain
steady state simple cycle operation and meet the Guaranteed Sound Levels.";0
"After achievement of Substantial Completion and the Reliability Run, a Final
Completion Performance Test may be conducted at Owner’s option in accordance
with ASME PTC-6.2 to demonstrate compliance with the Guaranteed Net Electrical
Output of the STG. The Final Completion Performance Test consists of operation of
the unit for three test runs at each plant operating disposition (six total test runs) with
each test run lasting 60 minutes in duration. Satisfactory completion of the Final
Completion Performance Test shall be met and Final Performance Acceptance of the
unit obtained, if the unit achieves a Net Electrical Output of at least 100% of the
guaranteed value.";0
"complete control functions
interface via a redundant Ethernet based communication link to Owner’s BOP DCS
system.";0
"analog output signals and alarm
and trip contact signals will be inputted to the ST control panel by hardwired
connection and it will be sent to the Owner’s distributed control system.";0
"401.13 Lubricant sample ports shall be provided at each bearing inlet prior to any inline
strainers and at the lubricant bearing drains.";0
"The turbine shell and valve bolting shall be designed for use with induction bolt
heaters, hydraulic stud tensioners or similar devices for ease of maintenance. Metric
threads will not be allowed.";0
"Stud-tensioning procedure will be submitted for approval, reviewed by and be
acceptable to Owner.";0
